STN,YYYYMMDD,FG,TG,SQ,RH
  240,20190101,   76,   77,   13,    5
  240,20190102,   48,   56,    4,   -1
  240,20190103,   23,   31,   46,   -1
  240,20190104,   45,   54,    0,   -1
  240,20190105,   65,   72,    0,    1
  240,20190106,   26,   62,    0,   -1
  240,20190107,   68,   77,    0,    7
  240,20190108,  118,   72,    2,   16
  240,20190109,   55,   46,   51,    4
  240,20190110,   25,   35,    0,   13
  240,20190111,   50,   74,    9,   12
  240,20190112,   80,   79,    0,   20
  240,20190113,   95,   89,    2,   43
  240,20190114,   55,   48,   29,   35
  240,20190115,   75,   69,    7,    0
  240,20190116,   81,   64,    0,   46
  240,20190117,   54,   36,    9,   21
  240,20190118,   31,    2,   52,    0
  240,20190119,   40,   -8,   71,    0
  240,20190120,   20,  -18,   73,    0
  240,20190121,   28,  -11,   74,    0
  240,20190122,   60,  -12,    2,   12
  240,20190123,   33,   -5,    7,    0
  240,20190124,   25,  -11,   10,   -1
  240,20190125,   51,   19,    0,   27
  240,20190126,   79,   75,    0,   27
  240,20190127,   84,   59,    2,  106
  240,20190128,   75,   41,   26,   23
  240,20190129,   47,   16,   73,   -1
  240,20190130,   29,    8,    0,   35
  240,20190131,   43,   -6,    8,    8
  240,20190201,   39,    9,    0,    9
  240,20190202,   30,   23,    0,    9
  240,20190203,   33,   18,   76,    0
  240,20190204,   76,   20,    0,   26
  240,20190205,   47,   44,    0,    0
  240,20190206,   50,   52,    0,   79
  240,20190207,  104,   76,   67,   49
  240,20190208,  102,   79,    0,   19
  240,20190209,  120,   84,   62,    1
  240,20190210,   61,   61,    2,  160
  240,20190211,   57,   49,   65,    3
  240,20190212,   54,   58,   58,    0
  240,20190213,   50,   62,   41,    0
  240,20190214,   27,   51,   87,    0
  240,20190215,   33,   71,   91,    0
  240,20190216,   35,   64,   91,    0
  240,20190217,   37,   73,   85,    0
  240,20190218,   37,   79,   89,   10
  240,20190219,   65,   72,   37,   -1
  240,20190220,   57,   76,   70,    0
  240,20190221,   50,   78,    7,   15
  240,20190222,   21,   89,    3,    0
  240,20190223,   37,   75,   93,    0
  240,20190224,   17,   70,   95,    0
  240,20190225,   15,   83,   95,    0
  240,20190226,   15,   92,   99,    0
  240,20190227,   25,   94,   97,    0
  240,20190228,   43,   75,   34,   14
  240,20190301,   40,   60,    9,   -1
  240,20190302,   59,   83,   30,    1
  240,20190303,  103,  110,    0,   81
  240,20190304,  115,   84,   53,   11
  240,20190305,   72,   72,   76,    4
  240,20190306,   68,   94,    0,   23
  240,20190307,  112,   90,   56,  146
  240,20190308,   84,   77,   58,   25
  240,20190309,   98,   86,   29,   12
  240,20190310,   65,   56,    0,  129
  240,20190311,  102,   53,   59,   14
  240,20190312,  101,   66,    0,   37
  240,20190313,  113,   77,   11,   22
  240,20190314,  101,   81,   18,   76
  240,20190315,   90,   92,   18,   24
  240,20190316,  119,   97,    7,   57
  240,20190317,   90,   69,   77,   48
  240,20190318,   55,   53,   67,    3
  240,20190319,   28,   56,   64,    0
  240,20190320,   47,   96,   28,    3
  240,20190321,   34,   81,    0,    0
  240,20190322,   30,   88,   60,    0
  240,20190323,   33,   78,   24,    0
  240,20190324,   36,   57,   77,    0
  240,20190325,   90,   75,   57,   15
  240,20190326,   41,   73,   30,    0
  240,20190327,   34,   90,   71,    0
  240,20190328,   19,   81,    0,    3
  240,20190329,   13,   93,  110,    0
  240,20190330,   23,  106,   96,    0
  240,20190331,   64,   83,   86,    0
  240,20190401,   48,   81,  119,    0
  240,20190402,   48,   96,   38,   57
  240,20190403,   36,   58,   43,   72
  240,20190404,   30,   60,   22,    0
  240,20190405,   35,   78,  108,    0
  240,20190406,   37,  101,   24,    0
  240,20190407,   38,  148,  113,   -1
  240,20190408,   48,  139,  109,    0
  240,20190409,   73,   93,  116,    0
  240,20190410,   70,   63,  125,    0
  240,20190411,   50,   66,  106,    0
  240,20190412,   50,   61,   77,    0
  240,20190413,   49,   41,  102,   -1
  240,20190414,   48,   59,  110,    0
  240,20190415,   51,  104,  104,    0
  240,20190416,   54,  121,  118,    0
  240,20190417,   34,  129,   30,    0
  240,20190418,   56,  161,  109,    0
  240,20190419,   44,  165,  122,    0
  240,20190420,   48,  168,  132,    0
  240,20190421,   35,  151,  132,    0
  240,20190422,   49,  177,  126,    0
  240,20190423,   60,  163,  125,    0
  240,20190424,   65,  169,   96,  113
  240,20190425,   58,  123,   25,   35
  240,20190426,   45,  122,   72,    0
  240,20190427,   74,  102,   50,   28
  240,20190428,   32,   93,   16,   22
  240,20190429,   31,  107,   98,    0
  240,20190430,   31,  104,    0,    0
  240,20190501,   23,   87,   21,    0
  240,20190502,   40,   95,   32,    1
  240,20190503,   39,   76,   23,   25
  240,20190504,   50,   59,   94,   13
  240,20190505,   48,   73,   69,    6
  240,20190506,   37,   76,   21,   -1
  240,20190507,   27,   86,   53,   11
  240,20190508,   54,  102,   33,   15
  240,20190509,   48,  119,  118,  136
  240,20190510,   33,  102,   62,   -1
  240,20190511,   49,   95,  127,    0
  240,20190512,   39,   93,  100,    1
  240,20190513,   31,   98,  123,    0
  240,20190514,   43,  112,  126,    0
  240,20190515,   44,  124,  137,    0
  240,20190516,   56,  122,   77,    0
  240,20190517,   38,  124,   13,   -1
  240,20190518,   23,  145,  101,   -1
  240,20190519,   42,  143,   40,    0
  240,20190520,   51,  125,    0,    0
  240,20190521,   67,  115,    0,    0
  240,20190522,   33,  131,   99,    0
  240,20190523,   35,  152,  145,    0
  240,20190524,   40,  140,  145,    0
  240,20190525,   24,  132,   51,    0
  240,20190526,   74,  160,   32,   66
  240,20190527,   56,  141,  113,   -1
  240,20190528,   37,  116,   40,   23
  240,20190529,   40,  134,  121,   -1
  240,20190530,   71,  168,   36,   15
  240,20190531,   57,  170,   87,    0
  240,20190601,   28,  185,  144,    0
  240,20190602,   53,  227,  114,    1
  240,20190603,   45,  165,   57,    0
  240,20190604,   39,  180,   73,  148
  240,20190605,   42,  152,    7,  260
  240,20190606,   48,  141,   94,   79
  240,20190607,   60,  154,   48,   31
  240,20190608,  116,  142,   49,   42
  240,20190609,   42,  153,   84,   -1
  240,20190610,   50,  175,   56,   75
  240,20190611,   39,  151,   94,    4
  240,20190612,   27,  133,    8,  139
  240,20190613,   68,  141,   25,   24
  240,20190614,   38,  161,   87,   10
  240,20190615,   34,  153,   38,  266
  240,20190616,   48,  168,  100,    1
  240,20190617,   32,  186,  130,    0
  240,20190618,   27,  201,  100,    0
  240,20190619,   38,  187,   54,   57
  240,20190620,   49,  166,   68,    1
  240,20190621,   45,  155,  138,    0
  240,20190622,   43,  171,  149,    0
  240,20190623,   36,  225,  129,    0
  240,20190624,   42,  255,  110,    0
  240,20190625,   36,  253,   97,    0
  240,20190626,   46,  186,   84,    0
  240,20190627,   49,  165,  114,    0
  240,20190628,   45,  181,  104,    0
  240,20190629,   34,  234,  155,    0
  240,20190630,   50,  200,  118,    0
  240,20190701,   60,  180,  129,    0
  240,20190702,   36,  169,  136,    0
  240,20190703,   40,  149,  101,    0
  240,20190704,   28,  164,  136,    0
  240,20190705,   40,  180,  119,    0
  240,20190706,   40,  160,   45,    6
  240,20190707,   38,  144,   62,    0
  240,20190708,   49,  139,   51,   10
  240,20190709,   32,  151,  131,    0
  240,20190710,   30,  151,    0,   44
  240,20190711,   31,  184,   47,    4
  240,20190712,   40,  171,    9,   82
  240,20190713,   42,  167,   16,   13
  240,20190714,   38,  153,   31,   11
  240,20190715,   34,  152,    7,   -1
  240,20190716,   22,  159,   52,    0
  240,20190717,   15,  182,   97,    0
  240,20190718,   46,  189,   29,   34
  240,20190719,   27,  188,   57,    4
  240,20190720,   60,  192,   54,   56
  240,20190721,   44,  188,  122,    0
  240,20190722,   52,  206,  116,    0
  240,20190723,   29,  243,  149,    0
  240,20190724,   38,  258,  130,    0
  240,20190725,   28,  286,  131,    0
  240,20190726,   51,  269,  117,   23
  240,20190727,   35,  219,   84,    0
  240,20190728,   42,  193,   29,   -1
  240,20190729,   30,  197,  128,    0
  240,20190730,   42,  220,  139,    0
  240,20190731,   64,  181,   65,  145
  240,20190801,   56,  185,   53,   16
  240,20190802,   51,  187,   35,   90
  240,20190803,   32,  180,   54,    0
  240,20190804,   21,  197,   58,    0
  240,20190805,   55,  203,   65,   -1
  240,20190806,   50,  192,   81,   -1
  240,20190807,   68,  193,  117,   10
  240,20190808,   47,  190,  110,   -1
  240,20190809,   54,  196,   20,   44
  240,20190810,  116,  198,   81,    8
  240,20190811,   76,  182,   50,   -1
  240,20190812,   37,  161,   43,   77
  240,20190813,   45,  145,   74,   85
  240,20190814,   54,  161,   55,   99
  240,20190815,   69,  176,   31,   64
  240,20190816,   44,  174,   40,   14
  240,20190817,   63,  181,   31,   18
  240,20190818,   54,  169,   46,    4
  240,20190819,   69,  171,  102,   16
  240,20190820,   48,  163,  114,   -1
  240,20190821,   25,  160,   93,    0
  240,20190822,   37,  170,  126,    0
  240,20190823,   22,  188,  120,    0
  240,20190824,   19,  216,  130,    0
  240,20190825,   17,  229,  127,    0
  240,20190826,   27,  242,  128,    0
  240,20190827,   22,  251,  122,    2
  240,20190828,   35,  217,   34,   -1
  240,20190829,   46,  184,   76,    0
  240,20190830,   34,  173,   97,    0
  240,20190831,   32,  201,   95,   17
  240,20190901,   46,  160,   65,   -1
  240,20190902,   48,  159,  103,    3
  240,20190903,   58,  174,   49,    1
  240,20190904,   59,  153,   18,   45
  240,20190905,   69,  139,   79,   11
  240,20190906,   67,  146,   17,   81
  240,20190907,   38,  146,   58,   20
  240,20190908,   31,  136,   91,   -1
  240,20190909,   24,  131,   62,   -1
  240,20190910,   23,  143,   28,   -1
  240,20190911,   60,  156,    0,   83
  240,20190912,   47,  182,   99,    0
  240,20190913,   41,  169,   87,    7
  240,20190914,   18,  146,  116,    0
  240,20190915,   40,  160,   71,    2
  240,20190916,   22,  136,    8,   80
  240,20190917,   45,  132,   45,   -1
  240,20190918,   29,  131,   61,    0
  240,20190919,   16,  130,   51,    0
  240,20190920,   26,  130,  111,    0
  240,20190921,   47,  164,  114,    0
  240,20190922,   47,  187,   88,   52
  240,20190923,   41,  162,   47,    6
  240,20190924,   60,  154,    0,   42
  240,20190925,   59,  156,    8,   26
  240,20190926,   62,  160,    2,   95
  240,20190927,   78,  155,   42,   74
  240,20190928,   80,  157,   58,   58
  240,20190929,   84,  153,    5,  181
  240,20190930,   58,  144,   37,  107
  240,20191001,   66,  151,   21,  336
  240,20191002,   45,  108,   63,   36
  240,20191003,   34,  115,   52,   38
  240,20191004,   47,  104,    5,  116
  240,20191005,   28,   97,   52,    0
  240,20191006,   68,   92,    0,  120
  240,20191007,   51,   98,    9,   15
  240,20191008,   58,  137,   12,   53
  240,20191009,   59,  115,   13,  185
  240,20191010,   73,  129,   72,    4
  240,20191011,   96,  147,    0,   26
  240,20191012,   32,  120,    0,  112
  240,20191013,   57,  157,   11,   25
  240,20191014,   39,  141,   12,   19
  240,20191015,   43,  148,    8,    6
  240,20191016,   56,  132,   26,   72
  240,20191017,   40,  128,   65,    8
  240,20191018,   80,  122,   45,   35
  240,20191019,   57,  118,   31,   -1
  240,20191020,   23,  113,    9,   -1
  240,20191021,   43,  119,    8,   96
  240,20191022,   23,  111,   14,    6
  240,20191023,   26,  110,   39,   -1
  240,20191024,   53,  144,   49,   10
  240,20191025,   75,  137,   22,    1
  240,20191026,   93,  158,   24,   31
  240,20191027,   49,  100,   43,    3
  240,20191028,   18,   80,   47,    8
  240,20191029,   26,   71,   86,    0
  240,20191030,   39,   55,   85,    0
  240,20191031,   36,   43,   81,    0
  240,20191101,   46,   79,    0,   38
  240,20191102,   85,  128,   35,   33
  240,20191103,   38,  101,   20,   46
  240,20191104,   40,  103,   20,    1
  240,20191105,   25,   96,    5,   36
  240,20191106,   21,   84,   28,    7
  240,20191107,   51,   76,    0,   87
  240,20191108,   38,   56,   80,   -1
  240,20191109,   64,   66,   13,  112
  240,20191110,   24,   32,   81,    0
  240,20191111,   63,   55,    0,  136
  240,20191112,   80,   52,   10,  227
  240,20191113,   41,   62,    8,  100
  240,20191114,   44,   56,    6,   -1
  240,20191115,   49,   45,    0,    0
  240,20191116,   30,   44,    5,    0
  240,20191117,   26,   47,   61,    0
  240,20191118,   39,   66,    0,   51
  240,20191119,   26,   48,   19,   40
  240,20191120,   25,   21,   74,    0
  240,20191121,   43,   29,   15,    0
  240,20191122,   53,   66,   47,    1
  240,20191123,   48,   59,    3,    0
  240,20191124,   20,   62,   53,    0
  240,20191125,   38,   74,   24,    0
  240,20191126,   56,   98,    0,   25
  240,20191127,   69,  103,    2,   80
  240,20191128,   72,   95,    2,  156
  240,20191129,   33,   55,   34,    9
  240,20191130,   15,   35,   49,    4
  240,20191201,   18,   18,   45,    1
  240,20191202,   30,   56,   41,   35
  240,20191203,   40,   54,   46,    0
  240,20191204,   25,   28,   70,    0
  240,20191205,   52,   22,   20,    4
  240,20191206,   98,   73,    0,  125
  240,20191207,   72,   95,    0,   -1
  240,20191208,  104,   93,   24,   56
  240,20191209,   63,   65,    7,  101
  240,20191210,   72,   50,   50,    1
  240,20191211,   50,   62,   25,   27
  240,20191212,   71,   41,   60,   21
  240,20191213,   58,   54,    0,   30
  240,20191214,   83,   62,   10,   74
  240,20191215,   90,   70,   26,   21
  240,20191216,   45,   67,    0,   35
  240,20191217,   48,   91,    5,   11
  240,20191218,   45,   66,   60,    2
  240,20191219,   72,  108,   30,    7
  240,20191220,   79,  102,    3,   10
  240,20191221,   66,   70,    0,    3
  240,20191222,   59,   80,    0,   44
  240,20191223,   62,   84,   22,    5
  240,20191224,   67,   82,    2,   88
  240,20191225,   39,   76,   35,   16
  240,20191226,   39,   57,    0,    7
  240,20191227,   40,   38,   66,    1
  240,20191228,   25,    7,   31,    0
  240,20191229,   37,   17,   20,    0
  240,20191230,   48,   45,   55,    0
  240,20191231,   23,   52,   53,    0
  240,20200101,   38,   19,    0,    0
